date,1a. open (EUR),2a. high (EUR),3a. low (EUR),4a. close (EUR),5. volume
2023-05-24 20:00:00,24489.54,24710.91,24484.1,24634.68,61.64417
2023-05-24 21:00:00,24637.9,24690.63,24544.5,24596.16,36.847
2023-05-24 22:00:00,24596.16,24650.24,24550.0,24575.71,24.07883
2023-05-24 23:00:00,24576.0,24613.64,24545.01,24551.0,12.28554
2023-05-25 00:00:00,24550.96,24611.53,24440.0,24478.39,33.96591
2023-05-25 01:00:00,24478.39,24543.83,24155.52,24382.99,100.66596
2023-05-25 02:00:00,24384.0,24405.93,24317.05,24384.71,12.61602
2023-05-25 03:00:00,24384.99,24472.99,24384.99,24437.51,23.52963
2023-05-25 04:00:00,24434.49,24517.0,24407.01,24475.91,22.79389
2023-05-25 05:00:00,24479.27,24525.98,24464.07,24510.68,17.72052
2023-05-25 06:00:00,24512.28,24548.91,24475.55,24514.0,32.34704
2023-05-25 07:00:00,24512.24,24536.95,24432.55,24440.45,45.37666
2023-05-25 08:00:00,24441.54,24538.73,24436.55,24511.04,63.32385
2023-05-25 09:00:00,24511.04,24546.23,24497.81,24543.17,69.68525
2023-05-25 10:00:00,24543.21,24564.19,24471.74,24500.25,58.58843
2023-05-25 11:00:00,24502.0,24572.94,24450.29,24531.0,57.68705
2023-05-25 12:00:00,24531.01,24715.99,24530.34,24672.5,109.08094
2023-05-25 13:00:00,24672.49,24699.6,24562.76,24636.29,74.15916
2023-05-25 14:00:00,24636.29,24697.03,24563.84,24632.15,72.01726
2023-05-25 15:00:00,24632.15,24650.0,24450.01,24499.85,62.37636
2023-05-25 16:00:00,24499.89,24602.16,24488.79,24561.12,57.14841
2023-05-25 17:00:00,24561.15,24655.78,24527.11,24614.13,43.97645
2023-05-25 18:00:00,24614.13,24671.73,24593.02,24639.6,44.17169
2023-05-25 19:00:00,24639.61,24868.88,24633.57,24726.37,54.6235
2023-05-25 20:00:00,24726.12,24778.27,24712.22,24734.01,27.8352
2023-05-25 21:00:00,24734.0,24734.0,24687.29,24716.0,21.59466
2023-05-25 22:00:00,24716.0,24718.57,24679.74,24698.62,22.22228
2023-05-25 23:00:00,24699.73,24792.68,24697.65,24717.78,22.77788
2023-05-26 00:00:00,24717.78,24758.03,24646.02,24724.11,27.45327
2023-05-26 01:00:00,24724.25,24773.99,24598.73,24659.23,40.1704
2023-05-26 02:00:00,24655.0,24680.22,24618.43,24633.99,13.17049
2023-05-26 03:00:00,24634.0,24697.71,24624.14,24663.39,23.30608
2023-05-26 04:00:00,24662.52,24671.25,24636.24,24648.02,9.27416
2023-05-26 05:00:00,24647.24,24652.65,24564.0,24576.0,24.21197
2023-05-26 06:00:00,24573.47,24674.24,24557.0,24671.92,26.10787
2023-05-26 07:00:00,24674.58,24750.77,24654.29,24723.48,40.20424
2023-05-26 08:00:00,24725.01,24782.04,24710.49,24714.4,53.99661
2023-05-26 09:00:00,24714.39,24732.13,24682.17,24704.66,48.24127
2023-05-26 10:00:00,24703.79,24734.0,24670.89,24673.11,37.88415
2023-05-26 11:00:00,24673.11,24711.09,24641.66,24688.36,35.8799
2023-05-26 12:00:00,24688.36,24736.88,24607.03,24688.8,83.2112
2023-05-26 13:00:00,24686.7,24868.42,24683.68,24822.43,81.36361
2023-05-26 14:00:00,24824.27,25185.97,24812.24,25062.83,153.94114
2023-05-26 15:00:00,25061.92,25143.63,25028.46,25034.06,62.46052
2023-05-26 16:00:00,25036.99,25096.74,25023.0,25065.95,45.32193
2023-05-26 17:00:00,25065.14,25092.0,24950.11,24979.91,42.06724
2023-05-26 18:00:00,24980.48,25008.35,24877.87,24987.01,51.31801
2023-05-26 19:00:00,24987.01,25079.99,24987.01,25021.3,45.02023
2023-05-26 20:00:00,25019.97,25056.18,25001.23,25006.85,22.85204
2023-05-26 21:00:00,25005.41,25040.32,24994.0,24994.02,27.2925
2023-05-26 22:00:00,24994.02,25024.43,24960.08,24960.18,25.84509
2023-05-26 23:00:00,24960.19,25003.89,24960.19,24981.7,19.86867
2023-05-27 00:00:00,24979.12,24992.12,24910.01,24927.96,15.5927
2023-05-27 01:00:00,24926.17,24983.97,24921.16,24983.96,7.51478
2023-05-27 02:00:00,24985.31,25013.75,24960.89,25013.53,9.16539
2023-05-27 03:00:00,25010.93,25040.0,24982.86,25020.08,6.48607
2023-05-27 04:00:00,25021.7,25050.0,24993.78,25027.74,6.75453
2023-05-27 05:00:00,25027.01,25036.53,25004.09,25004.09,7.03617
2023-05-27 06:00:00,25004.09,25028.95,24981.61,25019.26,10.37932
2023-05-27 07:00:00,25019.01,25019.02,24973.24,24981.4,25.36767
2023-05-27 08:00:00,24981.36,24982.56,24931.53,24942.33,28.97325
2023-05-27 09:00:00,24943.97,24989.32,24938.37,24956.47,22.99133
2023-05-27 10:00:00,24957.83,24978.57,24927.63,24939.24,25.84903
2023-05-27 11:00:00,24933.33,24976.62,24925.84,24962.32,21.95629
2023-05-27 12:00:00,24962.32,25008.07,24943.54,24978.55,26.19154
2023-05-27 13:00:00,24978.55,25039.73,24830.22,24891.6,37.56801
2023-05-27 14:00:00,24891.63,24979.99,24873.98,24931.01,36.15804
2023-05-27 15:00:00,24931.39,24953.24,24901.01,24952.66,12.09537
2023-05-27 16:00:00,24952.46,24952.92,24879.29,24917.01,15.43514
2023-05-27 17:00:00,24917.01,25010.03,24914.5,25003.82,25.81532
2023-05-27 18:00:00,25007.34,25082.63,24967.4,24967.4,35.5894
2023-05-27 19:00:00,24975.87,25031.0,24971.23,24998.99,20.15552
2023-05-27 20:00:00,24997.98,25012.0,24980.0,24997.56,17.75724
2023-05-27 21:00:00,24995.62,25025.51,24980.0,25011.05,20.47188
2023-05-27 22:00:00,25011.09,25074.13,25000.01,25050.21,22.68692
2023-05-27 23:00:00,25050.61,25132.31,25050.61,25099.11,16.39338
2023-05-28 00:00:00,25101.66,25337.19,25022.02,25299.51,55.25792
2023-05-28 01:00:00,25307.53,25369.99,25270.72,25300.07,47.80212
2023-05-28 02:00:00,25301.99,25322.87,25263.79,25288.99,25.09824
2023-05-28 03:00:00,25289.02,25428.0,25289.02,25371.97,39.0214
2023-05-28 04:00:00,25372.0,25461.99,25356.79,25361.85,33.52113
2023-05-28 05:00:00,25362.0,25380.76,25320.0,25360.99,30.13072
2023-05-28 06:00:00,25360.99,25419.08,25360.99,25380.92,33.55014
2023-05-28 07:00:00,25380.35,25425.72,25380.35,25421.86,33.65395
2023-05-28 08:00:00,25424.0,25437.99,25401.9,25426.48,45.40229
2023-05-28 09:00:00,25426.49,25430.41,25372.96,25392.47,12.96444
2023-05-28 10:00:00,25392.52,25449.24,25382.23,25441.06,18.00413
2023-05-28 11:00:00,25439.13,25572.02,25377.18,25381.0,39.1856
2023-05-28 12:00:00,25381.0,25413.39,25333.74,25373.64,19.89813
2023-05-28 13:00:00,25371.9,25439.09,25362.86,25397.6,18.86364
2023-05-28 14:00:00,25397.6,25447.8,25386.45,25388.51,27.09073
2023-05-28 15:00:00,25388.51,25469.82,25375.12,25468.53,14.95021
2023-05-28 16:00:00,25465.38,25520.0,25422.02,25448.0,22.68595
2023-05-28 17:00:00,25446.88,25600.0,25403.54,25525.15,34.61935
2023-05-28 18:00:00,25525.07,25886.8,25489.1,25735.92,75.8126
2023-05-28 19:00:00,25735.92,25775.72,25634.13,25683.6,34.6594
2023-05-28 20:00:00,25687.79,25756.71,25687.79,25717.02,30.36358
2023-05-28 21:00:00,25718.42,26066.0,25718.42,25983.55,65.94217
2023-05-28 22:00:00,25982.84,26288.87,25982.84,26212.81,74.47556
2023-05-28 23:00:00,26215.0,26351.93,26166.48,26182.0,45.77212
2023-05-29 00:00:00,26199.65,26526.7,26196.53,26299.05,78.7501
2023-05-29 01:00:00,26305.76,26325.0,26227.08,26251.48,31.2104
2023-05-29 02:00:00,26254.63,26265.77,26177.0,26177.02,18.73795
2023-05-29 03:00:00,26177.0,26214.83,25999.74,26046.45,32.54579
2023-05-29 04:00:00,26049.2,26116.38,25975.22,26051.37,48.06654
2023-05-29 05:00:00,26051.47,26134.0,26037.0,26081.47,24.91237
